499
10
28360700
34056600
0 1 1 4 0 3  (D 0,1,1) (S 1,1,2) (D 0,1,1)
0 1 2 20 57 6  (D 0,1,1) (S 39,8,14) (S 38,14,8) (S 14,8,7) (S 13,7,8) (D 0,1,1)
0 1 3 20 58 6  (D 0,1,1) (S 6,4,5) (S 9,6,7) (S 10,7,6) (S 35,13,14) (D 0,1,1)
0 1 4 20 61 6  (D 0,1,1) (S 12,6,7) (S 11,7,6) (S 37,17,13) (S 36,13,17) (D 0,1,1)
0 1 5 20 51 7  (D 0,1,1) (S 23,5,10) (S 26,10,11) (S 27,11,10) (S 65,23,20) (S 22,10,5) (D 0,1,1)
0 1 6 20 62 8  (D 0,1,1) (S 28,11,10) (S 66,23,22) (S 67,22,23) (S 69,24,21) (S 70,21,24) (S 34,12,13) (D 0,1,1)
0 1 7 20 54 8  (D 0,1,1) (S 43,11,15) (S 42,15,11) (S 32,15,11) (S 31,11,15) (S 33,12,6) (S 5,4,2) (D 0,1,1)
0 1 8 20 50 9  (D 0,1,1) (S 45,15,21) (S 46,21,15) (S 59,15,21) (S 58,21,15) (S 48,16,15) (S 44,15,16) (S 47,16,12) (D 0,1,1)
0 1 9 20 55 9  (D 0,1,1) (S 8,10,5) (S 24,10,9) (S 18,9,10) (S 62,22,19) (S 57,19,20) (S 19,10,9) (S 17,9,3) (D 0,1,1)
0 1 10 20 51 9  (D 0,1,1) (S 20,9,19) (S 21,19,9) (S 56,9,19) (S 55,19,9) (S 25,9,10) (S 29,10,11) (S 30,11,12) (D 0,1,1)
