49618
19
110364500
155344400
0 1 1 1543 2624 10  (D 0,1,1) (S 1,1,2) (S 2,2,3) (S 4,3,4) (S 45,27,26) (S 40,25,41) (S 80,45,46) (S 82,46,30) (S 48,29,13) (D 0,1,1)
0 1 2 1621 2865 10  (D 0,1,1) (S 8,6,7) (S 43,26,42) (S 73,42,41) (S 69,41,40) (S 101,54,41) (S 70,41,54) (S 102,54,55) (S 105,55,67) (D 0,1,1)
0 1 3 1518 2696 9  (D 0,1,1) (S 10,6,21) (S 31,21,37) (S 104,54,66) (S 124,65,54) (S 67,40,24) (S 37,24,9) (S 15,12,13) (D 0,1,1)
0 1 4 930 1432 6  (D 0,1,1) (S 22,16,32) (S 52,32,33) (S 54,33,34) (S 23,17,16) (D 0,1,1)
0 1 5 1631 2947 12  (D 0,1,1) (S 29,20,35) (S 56,34,48) (S 92,50,51) (S 115,61,62) (S 112,61,49) (S 89,49,50) (S 91,50,37) (S 119,63,52) (S 64,39,23) (S 9,6,20) (D 0,1,1)
0 1 6 1486 2693 8  (D 0,1,1) (S 46,27,43) (S 75,43,69) (S 130,69,68) (S 128,68,56) (S 74,42,43) (S 81,45,57) (D 0,1,1)
0 1 7 1533 2700 7  (D 0,1,1) (S 51,31,30) (S 49,29,28) (S 39,25,9) (S 12,9,10) (S 16,12,28) (D 0,1,1)
0 1 8 1535 2555 10  (D 0,1,1) (S 53,32,59) (S 110,59,60) (S 118,63,51) (S 94,51,63) (S 114,61,60) (S 111,60,48) (S 3,2,17) (S 21,16,1) (D 0,1,1)
0 1 9 1550 2738 9  (D 0,1,1) (S 72,41,56) (S 106,56,42) (S 77,44,45) (S 79,45,44) (S 76,44,28) (S 41,26,10) (S 13,10,11) (D 0,1,1)
0 1 10 1482 2743 9  (D 0,1,1) (S 85,47,58) (S 108,57,70) (S 131,70,69) (S 129,69,56) (S 71,41,55) (S 126,67,66) (S 125,66,65) (D 0,1,1)
0 1 11 1549 2470 8  (D 0,1,1) (S 90,50,36) (S 60,36,37) (S 61,37,38) (S 95,52,51) (S 93,51,37) (S 62,38,52) (D 0,1,1)
0 1 12 1463 2395 8  (D 0,1,1) (S 96,52,53) (S 38,24,39) (S 32,22,21) (S 30,21,20) (S 25,19,4) (S 6,4,5) (D 0,1,1)
0 1 13 1446 2553 7  (D 0,1,1) (S 97,53,39) (S 33,22,23) (S 34,23,7) (S 44,27,11) (S 14,11,12) (D 0,1,1)
0 1 14 1438 2563 10  (D 0,1,1) (S 99,53,54) (S 68,40,39) (S 66,39,52) (S 35,23,39) (S 98,53,52) (S 63,39,22) (S 27,20,5) (S 7,5,6) (D 0,1,1)
0 1 15 1631 2637 10  (D 0,1,1) (S 117,62,61) (S 116,62,50) (S 59,36,35) (S 57,35,34) (S 86,48,34) (S 55,34,18) (S 24,18,17) (S 5,3,18) (D 0,1,1)
0 1 16 1399 2363 8  (D 0,1,1) (S 120,63,62) (S 113,61,50) (S 58,36,20) (S 26,19,35) (S 87,48,49) (S 88,49,35) (D 0,1,1)
0 1 17 1528 2799 10  (D 0,1,1) (S 121,63,64) (S 122,64,65) (S 123,65,53) (S 65,39,38) (S 103,54,65) (S 100,54,40) (S 36,24,8) (S 11,8,9) (D 0,1,1)
0 1 18 1553 2855 10  (D 0,1,1) (S 127,67,68) (S 83,46,47) (S 84,47,31) (S 50,30,29) (S 17,13,14) (S 18,14,15) (S 20,15,31) (S 47,28,27) (D 0,1,1)
0 1 19 1639 2990 10  (D 0,1,1) (S 132,70,71) (S 133,71,58) (S 109,58,57) (S 107,57,45) (S 78,45,29) (S 19,14,30) (S 42,26,25) (S 28,20,19) (D 0,1,1)
