28870
13
147184400
227011600
0 1 1 1623 2092 5  (D 0,1,1) (S 71,38,39) (S 74,39,40) (S 90,48,49) (D 0,1,1)
0 1 2 1647 2388 8  (D 0,1,1) (S 12,4,11) (S 55,29,30) (S 58,30,39) (S 89,47,54) (S 99,7,14) (S 40,21,30) (D 0,1,1)
0 1 3 1619 2064 6  (D 0,1,1) (S 14,5,6) (S 101,14,6) (S 29,14,23) (S 44,23,24) (D 0,1,1)
0 1 4 1624 2173 7  (D 0,1,1) (S 17,7,8) (S 18,8,15) (S 46,24,32) (S 64,33,42) (S 47,24,33) (D 0,1,1)
0 1 5 1605 2086 6  (D 0,1,1) (S 25,12,22) (S 45,23,32) (S 78,42,49) (S 42,22,31) (D 0,1,1)
0 1 6 1603 2358 7  (D 0,1,1) (S 32,16,17) (S 50,26,35) (S 67,35,44) (S 34,17,18) (S 106,34,43) (D 0,1,1)
0 1 7 1630 2274 6  (D 0,1,1) (S 53,28,29) (S 80,43,50) (S 84,45,52) (S 95,52,53) (D 0,1,1)
0 1 8 1648 2265 7  (D 0,1,1) (S 59,31,40) (S 75,40,41) (S 61,32,40) (S 98,55,56) (S 57,30,31) (D 0,1,1)
0 1 9 1624 2330 7  (D 0,1,1) (S 60,32,33) (S 63,32,42) (S 77,41,42) (S 41,22,23) (S 35,17,26) (D 0,1,1)
0 1 10 1617 2342 7  (D 0,1,1) (S 65,34,35) (S 66,35,36) (S 69,36,45) (S 51,27,28) (S 33,16,25) (D 0,1,1)
0 1 11 1615 2192 6  (D 0,1,1) (S 79,43,44) (S 82,44,51) (S 93,50,51) (S 94,51,52) (D 0,1,1)
0 1 12 1631 2262 6  (D 0,1,1) (S 86,46,52) (S 81,44,45) (S 83,45,46) (S 48,25,26) (D 0,1,1)
0 1 13 1634 2044 7  (D 0,1,1) (S 72,38,46) (S 87,46,53) (S 88,47,48) (S 76,40,48) (S 1,12,12) (D 0,1,1)
